epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,440.806,2.03906,1.69007,1.00189,0.55372,0.61538,0.53319,0.18365,2.54937,1.82886,0.94172,0.00026405,0.00026405,0.00026405
145,443.411,2.09591,1.72426,1.02543,0.59003,0.61538,0.54419,0.19029,2.55581,1.8361,0.94313,0.0002624,0.0002624,0.0002624
146,446.063,1.95367,1.5584,0.94011,0.57833,0.61538,0.54917,0.19693,2.56043,1.83349,0.946,0.00026075,0.00026075,0.00026075
147,448.819,2.04368,1.60749,0.98724,0.57652,0.61538,0.55237,0.19234,2.5849,1.83032,0.94674,0.0002591,0.0002591,0.0002591
148,451.372,2.18856,1.78333,1.03177,0.57955,0.61538,0.55816,0.19033,2.62244,1.82065,0.94707,0.00025745,0.00025745,0.00025745
149,453.848,1.93737,1.52722,0.96895,0.59245,0.61538,0.55864,0.19522,2.62831,1.82568,0.95391,0.0002558,0.0002558,0.0002558
150,456.469,2.03922,1.46596,1.03809,0.54342,0.57692,0.51515,0.19608,2.6275,1.82981,0.95555,0.00025415,0.00025415,0.00025415
151,459.182,2.01017,1.61041,1.00076,0.5494,0.53846,0.51432,0.19027,2.63426,1.82679,0.95544,0.0002525,0.0002525,0.0002525
152,462.038,2.08556,1.74834,0.98421,0.55236,0.53846,0.49595,0.18886,2.65424,1.84229,0.96162,0.00025085,0.00025085,0.00025085
153,464.584,2.12006,1.58547,1.04052,0.5456,0.53846,0.49467,0.19155,2.64592,1.86994,0.95854,0.0002492,0.0002492,0.0002492
154,467.402,2.02088,1.6144,1.02389,0.54596,0.53846,0.48861,0.18652,2.67475,1.90335,0.96034,0.00024755,0.00024755,0.00024755
155,469.958,2.09312,1.70586,1.02219,0.53879,0.53846,0.48447,0.18366,2.67062,1.93234,0.95913,0.0002459,0.0002459,0.0002459
156,472.903,2.04484,1.68518,1.00376,0.52225,0.5468,0.47103,0.17848,2.65101,1.96616,0.95765,0.00024425,0.00024425,0.00024425
